collection_date,primer_set,rel,day30_avg,misclass,ts,ts1
2021-10-24,Chan-set,2.25895316804408,2.38856027076158,slight,1635033600,1635033600
2021-10-25,Chan-set,2.85714285714286,2.38926055087362,slight,1635120000,1635120000
2021-10-26,Chan-set,2.79419666845782,2.40266187773071,slight,1635206400,1635206400
2021-10-27,Chan-set,2.8892455858748,2.39987518252829,slight,1635292800,1635292800
2021-10-28,Chan-set,3.09663641217298,2.43338974509109,slight,1635379200,1635379200
2021-10-29,Chan-set,3.94088669950739,2.48685185606688,slight,1635465600,1635465600
2021-10-30,Chan-set,2.18446601941748,2.49264665155479,slight,1635552000,1635552000
2021-10-31,Chan-set,2.2330491270808,2.48257000210969,slight,1635638400,1635638400
2021-11-01,Chan-set,2.50152532031727,2.46189241376041,slight,1635724800,1635724800
2021-11-02,Chan-set,2.42990654205607,2.45995724927143,slight,1635811200,1635811200
2021-11-03,Chan-set,3.42075256556442,2.47656264021415,slight,1635897600,1635897600
2021-11-04,Chan-set,2.78884462151394,2.48004667591577,slight,1635984000,1635984000
2021-11-05,Chan-set,3.53448275862069,2.54379958152075,slight,1636070400,1636070400
2021-11-06,Chan-set,2.88065843621399,2.57076722227845,slight,1636156800,1636156800
2021-11-07,Chan-set,3.71959942775393,2.61292080931378,slight,1636243200,1636243200
2021-11-08,Chan-set,3.23508267433501,2.65041692190494,slight,1636329600,1636329600
2021-11-09,Chan-set,3.11077389984826,2.66352967508829,slight,1636416000,1636416000
2021-11-10,Chan-set,3.36538461538462,2.68117698910202,slight,1636502400,1636502400
2021-11-11,Chan-set,2.75800711743772,2.7179040110444,slight,1636588800,1636588800
2021-11-12,Chan-set,2.3538961038961,2.72310714124754,slight,1636675200,1636675200
2021-11-13,Chan-set,2.18522372528616,2.73189367436622,slight,1636761600,1636761600
2021-11-14,Chan-set,2.47813411078717,2.7254944123112,slight,1636848000,1636848000
2021-11-15,Chan-set,3.85694249649369,2.77517455386558,slight,1636934400,1636934400
2021-11-16,Chan-set,5.28846153846154,2.8826057029634,slight,1637020800,1637020800
2021-11-17,Chan-set,4.0,2.95180779095743,slight,1637107200,1637107200
2021-11-18,Chan-set,1.90174326465927,2.94713640588761,slight,1637193600,1637193600
2021-11-19,Chan-set,2.59481037924152,2.94488206617823,slight,1637280000,1637280000
2021-11-20,Chan-set,0.879765395894428,2.87947472602116,slight,1637366400,1637366400
2021-11-21,Chan-set,0.446428571428571,2.80269912091458,slight,1637452800,1637452800
2021-11-22,Chan-set,2.9126213592233,2.82992071540386,slight,1637539200,1637539200
2021-11-23,Chan-set,1.6,2.80795560980239,slight,1637625600,1637625600
2021-11-24,Chan-set,1.62748643761302,2.76696706248473,slight,1637712000,1637712000
2021-11-25,Chan-set,1.00502512562814,2.70732801105708,slight,1637798400,1637798400
2021-11-26,Chan-set,1.25786163522013,2.65294854603525,slight,1637884800,1637884800
